date,hour,location,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190324,0,Chizhou,53.0,0.633,0.5670000000000001,35.0,34.0,77.0,107.0,88.0,96.0,49.0,56.0,36.0,45.0,5.0,11.0
20190324,0,Chongqing,46.0,0.682,0.691,40.0,33.0,21.0,46.0,24.0,37.0,45.0,36.0,30.0,24.0,5.0,6.0
20190324,0,Chongzuo,45.0,0.6,0.7,13.0,15.0,48.0,51.0,41.0,44.0,44.0,74.0,14.0,29.0,5.0,4.0
20190324,0,Chuzhou,70.0,0.55,0.6,48.0,49.0,76.0,136.0,82.0,114.0,79.0,77.0,50.0,45.0,13.0,13.0
20190324,0,Dalian,39.0,0.42,0.35,19.0,18.0,74.0,90.0,76.0,85.0,22.0,28.0,12.0,15.0,6.0,8.0
20190324,0,Dandong,43.0,0.825,0.7,35.0,21.0,37.0,84.0,55.0,76.0,42.0,36.0,22.0,22.0,14.0,15.0
20190324,0,Daqing,39.0,0.36,0.52,10.0,14.0,60.0,103.0,74.0,95.0,38.0,66.0,15.0,51.0,10.0,9.0
20190324,0,Datong,56.0,1.35,1.067,50.0,24.0,32.0,82.0,53.0,77.0,59.0,46.0,31.0,20.0,57.0,29.0
20190324,0,Dazhou,37.0,0.46,0.36,59.0,35.0,10.0,84.0,43.0,71.0,36.0,32.0,20.0,15.0,10.0,9.0
20190324,0,Deyang,53.0,0.4,0.4,25.0,35.0,55.0,93.0,69.0,79.0,54.0,65.0,33.0,29.0,3.0,6.0
20190324,0,Dezhou,56.0,0.433,0.433,37.0,22.0,59.0,104.0,79.0,98.0,59.0,55.0,29.0,16.0,8.0,5.0
20190324,0,Dingxi,61.0,0.45,0.5,33.0,29.0,60.0,112.0,91.0,107.0,69.0,84.0,27.0,28.0,6.0,12.0
20190324,0,Dongguan,12.0,0.84,0.92,20.0,27.0,29.0,29.0,23.0,24.0,7.0,22.0,5.0,16.0,7.0,7.0
20190324,0,Dongying,54.0,0.725,0.4,46.0,20.0,36.0,96.0,67.0,91.0,56.0,43.0,29.0,16.0,23.0,10.0
20190324,0,Ezhou,70.0,0.733,0.5,68.0,31.0,23.0,112.0,67.0,102.0,88.0,51.0,45.0,28.0,7.0,7.0
20190324,0,Fangchenggang,28.0,0.8,0.8,15.0,15.0,48.0,52.0,48.0,48.0,27.0,48.0,12.0,25.0,5.0,5.0
20190324,0,Foshan,17.0,0.7879999999999999,0.75,32.0,31.0,18.0,27.0,15.0,20.0,12.0,30.0,7.0,14.0,5.0,6.0
20190324,0,Fushun,51.0,0.667,0.45,28.0,17.0,45.0,90.0,61.0,85.0,50.0,29.0,24.0,12.0,23.0,14.0
20190324,0,Fuxin,57.0,0.72,0.38,30.0,12.0,43.0,88.0,60.0,86.0,61.0,28.0,37.0,15.0,40.0,13.0
20190324,0,Fuyang,110.0,0.75,0.5,50.0,35.0,41.0,111.0,66.0,98.0,133.0,87.0,82.0,53.0,7.0,5.0
20190324,0,Fuzhou,45.0,0.8,0.7,21.0,10.0,25.0,76.0,47.0,57.0,44.0,38.0,27.0,25.0,8.0,5.0
20190324,0,Ganzhou,32.0,1.04,1.12,11.0,12.0,43.0,53.0,42.0,48.0,31.0,22.0,20.0,15.0,7.0,7.0
20190324,0,Guang'an,31.0,0.62,0.6659999999999999,29.0,19.0,32.0,69.0,47.0,63.0,30.0,35.0,18.0,21.0,10.0,8.0
20190324,0,Guangyuan,39.0,0.425,0.45,14.0,21.0,68.0,90.0,76.0,83.0,36.0,40.0,12.0,17.0,12.0,11.0
20190324,0,Guangzhou,15.0,0.71,0.78,28.0,29.0,30.0,38.0,28.0,29.0,10.0,28.0,6.0,16.0,4.0,4.0
20190324,0,Guigang,26.0,0.675,0.55,16.0,12.0,30.0,46.0,35.0,41.0,25.0,29.0,18.0,18.0,9.0,8.0
20190324,0,Guilin,43.0,0.767,0.85,13.0,12.0,73.0,65.0,69.0,69.0,28.0,14.0,30.0,10.0,6.0,7.0
20190324,0,Guiyang,52.0,0.48,0.5,14.0,14.0,42.0,62.0,50.0,55.0,52.0,33.0,33.0,19.0,7.0,8.0
20190324,0,Guyuan,66.0,0.767,0.833,47.0,36.0,72.0,114.0,94.0,106.0,80.0,102.0,27.0,23.0,11.0,12.0
20190324,0,Haikou,24.0,0.68,0.44,22.0,11.0,23.0,52.0,32.0,45.0,23.0,25.0,8.0,12.0,4.0,4.0
20190324,0,Handan,74.0,0.45,0.575,29.0,24.0,58.0,102.0,81.0,99.0,95.0,85.0,38.0,26.0,11.0,9.0
20190324,0,Hangzhou,73.0,0.8640000000000001,0.591,79.0,38.0,19.0,105.0,59.0,92.0,93.0,50.0,50.0,29.0,8.0,8.0
20190324,0,Hanzhong,71.0,0.875,0.65,55.0,22.0,20.0,116.0,69.0,102.0,89.0,51.0,36.0,22.0,11.0,6.0
20190324,0,Harbin,36.0,0.615,0.723,22.0,23.0,55.0,93.0,57.0,83.0,35.0,52.0,20.0,33.0,13.0,12.0
20190324,0,Hebi,60.0,0.16699999999999998,0.3,35.0,28.0,66.0,103.0,82.0,96.0,67.0,75.0,24.0,27.0,5.0,9.0
20190324,0,Hechi,36.0,0.7,0.667,6.0,8.0,68.0,76.0,71.0,71.0,12.0,13.0,8.0,7.0,6.0,6.0
20190324,0,Hefei,97.0,1.17,0.54,115.0,48.0,5.0,114.0,52.0,100.0,142.0,62.0,64.0,30.0,9.0,5.0
20190324,0,Hegang,80.0,0.95,0.475,19.0,5.0,48.0,89.0,64.0,86.0,107.0,29.0,33.0,15.0,8.0,7.0
20190324,0,Heihe,37.0,0.5,0.5329999999999999,5.0,7.0,69.0,94.0,72.0,88.0,23.0,20.0,13.0,16.0,9.0,12.0
20190324,0,Hengshui,53.0,0.3670000000000001,0.333,32.0,17.0,62.0,101.0,83.0,96.0,54.0,49.0,21.0,16.0,7.0,4.0
20190324,0,Hengyang,50.0,0.8170000000000001,0.667,30.0,19.0,27.0,59.0,43.0,54.0,40.0,27.0,35.0,27.0,6.0,5.0
20190324,0,Heyuan,20.0,0.867,1.0,13.0,14.0,37.0,45.0,39.0,41.0,4.0,12.0,3.0,6.0,4.0,4.0
20190324,0,Heze,74.0,1.2,0.5,48.0,21.0,30.0,97.0,81.0,93.0,96.0,96.0,,33.0,30.0,19.0
20190324,0,Hezhou,15.0,0.45,0.45,11.0,11.0,34.0,42.0,26.0,37.0,12.0,16.0,10.0,9.0,6.0,8.0
20190324,0,Hohhot,99.0,1.775,0.813,86.0,34.0,12.0,102.0,59.0,94.0,136.0,52.0,74.0,25.0,23.0,15.0
20190324,0,Huaibei,114.0,0.767,0.6,38.0,29.0,49.0,110.0,77.0,101.0,130.0,91.0,85.0,55.0,14.0,19.0
20190324,0,Huaihua,57.0,0.56,0.5,24.0,8.0,22.0,91.0,51.0,83.0,61.0,31.0,24.0,16.0,5.0,3.0
20190324,0,Huainan,99.0,0.583,0.433,55.0,34.0,56.0,124.0,78.0,111.0,145.0,93.0,73.0,48.0,27.0,11.0
20190324,0,Huanggang,71.0,0.85,0.65,63.0,22.0,15.0,98.0,58.0,94.0,90.0,58.0,42.0,25.0,6.0,5.0
20190324,0,Huangshan,42.0,0.333,0.3670000000000001,16.0,14.0,47.0,123.0,83.0,107.0,29.0,32.0,19.0,24.0,7.0,7.0
20190324,0,Huangshi,67.0,1.183,0.85,50.0,32.0,36.0,105.0,58.0,90.0,82.0,58.0,42.0,32.0,14.0,12.0
20190324,0,Huizhou,17.0,0.66,0.66,16.0,17.0,30.0,64.0,32.0,48.0,8.0,17.0,5.0,8.0,5.0,5.0
20190324,0,Huludao,46.0,0.775,0.425,56.0,19.0,24.0,89.0,61.0,86.0,45.0,29.0,28.0,12.0,15.0,13.0
20190324,0,Hulunbuir,44.0,0.3,0.35,4.0,6.0,81.0,94.0,86.0,92.0,24.0,28.0,10.0,12.0,2.0,2.0
20190324,0,Huzhou,72.0,0.8740000000000001,0.851,82.0,53.0,38.0,113.0,62.0,92.0,76.0,81.0,52.0,54.0,15.0,17.0
20190324,0,Ji'an,53.0,0.475,0.5,22.0,21.0,47.0,64.0,49.0,57.0,54.0,45.0,33.0,27.0,13.0,12.0
20190324,0,Jiamusi,46.0,0.44,0.36,13.0,11.0,83.0,91.0,75.0,86.0,41.0,19.0,32.0,13.0,6.0,7.0
20190324,0,Jiangmen,15.0,0.725,0.725,28.0,35.0,20.0,20.0,12.0,12.0,11.0,33.0,5.0,14.0,2.0,5.0
20190324,0,Jiaozuo,67.0,0.667,0.633,22.0,23.0,84.0,108.0,92.0,102.0,81.0,88.0,33.0,34.0,9.0,14.0
20190324,0,Jiaxing,52.0,0.667,0.633,32.0,27.0,66.0,118.0,82.0,103.0,51.0,41.0,25.0,21.0,6.0,8.0
20190324,0,Jiayuguan,94.0,0.35,0.7,21.0,23.0,85.0,109.0,98.0,104.0,135.0,114.0,35.0,30.0,4.0,19.0
20190324,0,Jieyang,35.0,0.65,0.725,17.0,17.0,64.0,72.0,68.0,69.0,31.0,25.0,14.0,11.0,9.0,8.0
20190324,0,Jilin,41.0,0.5429999999999999,0.6709999999999999,10.0,18.0,79.0,103.0,80.0,97.0,22.0,48.0,9.0,33.0,5.0,8.0
20190324,0,Jinan,85.0,0.58,0.455,79.0,34.0,12.0,98.0,55.0,92.0,117.0,66.0,36.0,22.0,9.0,9.0
20190324,0,Jinchang,75.0,0.667,0.633,20.0,14.0,77.0,126.0,105.0,117.0,98.0,83.0,21.0,19.0,5.0,18.0
20190324,0,Jincheng,74.0,0.75,1.2,32.0,31.0,65.0,93.0,79.0,89.0,95.0,95.0,23.0,26.0,9.0,20.0
20190324,0,Jingdezhen,47.0,0.42,0.4,36.0,11.0,7.0,80.0,42.0,74.0,46.0,33.0,23.0,23.0,7.0,5.0
20190324,0,Jingmen,52.0,0.58,0.62,17.0,27.0,66.0,107.0,69.0,84.0,52.0,59.0,34.0,31.0,6.0,9.0
20190324,0,Jingzhou,56.0,0.667,0.7,50.0,35.0,33.0,84.0,45.0,73.0,59.0,52.0,23.0,20.0,8.0,9.0
20190324,0,Jinhua,49.0,0.5329999999999999,0.433,67.0,32.0,17.0,113.0,58.0,103.0,48.0,33.0,26.0,18.0,9.0,6.0
20190324,0,Jining,63.0,0.5329999999999999,0.433,68.0,31.0,28.0,99.0,57.0,92.0,74.0,63.0,33.0,37.0,13.0,12.0
20190324,0,Jinzhong,75.0,1.025,0.7,74.0,37.0,6.0,97.0,47.0,92.0,97.0,57.0,34.0,17.0,33.0,17.0
20190324,0,Jinzhou,53.0,1.0,0.6,58.0,24.0,23.0,82.0,48.0,79.0,53.0,32.0,34.0,14.0,86.0,24.0
20190324,0,Jiujiang,58.0,0.578,0.411,47.0,19.0,49.0,106.0,73.0,98.0,62.0,32.0,40.0,22.0,6.0,6.0
20190324,0,Jiuquan,99.0,0.55,0.6,26.0,26.0,73.0,112.0,90.0,103.0,146.0,109.0,35.0,29.0,16.0,15.0
20190324,0,Jixi,37.0,0.375,0.45,9.0,10.0,73.0,84.0,72.0,78.0,20.0,26.0,11.0,18.0,5.0,6.0
20190324,0,Kaifeng,67.0,0.5670000000000001,0.5670000000000001,39.0,33.0,53.0,102.0,74.0,94.0,81.0,97.0,31.0,37.0,10.0,10.0
20190324,0,Karamay,71.0,0.54,0.48,20.0,20.0,82.0,116.0,97.0,108.0,89.0,58.0,31.0,18.0,7.0,6.0
20190324,0,Kunming,75.0,1.05,0.813,36.0,36.0,34.0,118.0,66.0,105.0,69.0,67.0,54.0,39.0,13.0,14.0
20190324,0,Laibin,36.0,0.7,0.55,15.0,15.0,44.0,54.0,45.0,47.0,35.0,33.0,22.0,13.0,7.0,8.0
20190324,0,Langfang,56.0,0.575,0.5,26.0,17.0,67.0,105.0,83.0,96.0,60.0,38.0,29.0,18.0,4.0,3.0
20190324,0,Lanzhou,85.0,0.7,0.7829999999999999,46.0,52.0,60.0,129.0,76.0,112.0,117.0,95.0,38.0,34.0,13.0,13.0
20190324,0,Leshan,54.0,0.54,0.58,30.0,31.0,53.0,91.0,54.0,64.0,55.0,49.0,33.0,29.0,6.0,9.0
20190324,0,Lhasa,50.0,0.383,0.433,11.0,15.0,85.0,115.0,99.0,106.0,22.0,39.0,7.0,14.0,3.0,4.0
20190324,0,Lianyungang,40.0,0.64,0.7,27.0,29.0,71.0,102.0,77.0,91.0,39.0,48.0,16.0,22.0,13.0,13.0
20190324,0,Liaocheng,66.0,0.7,0.5329999999999999,69.0,30.0,26.0,110.0,64.0,103.0,80.0,71.0,29.0,25.0,44.0,11.0
20190324,0,Liaoyang,56.0,1.225,0.575,39.0,17.0,44.0,86.0,51.0,82.0,60.0,37.0,24.0,17.0,27.0,10.0
20190324,0,Liaoyuan,32.0,0.5,0.45,21.0,12.0,42.0,74.0,63.0,65.0,17.0,26.0,15.0,18.0,9.0,22.0
20190324,0,Lijiang,46.0,0.733,0.633,14.0,12.0,77.0,102.0,90.0,98.0,38.0,34.0,15.0,10.0,5.0,6.0
20190324,0,Lincang,71.0,1.2,1.0,17.0,15.0,64.0,103.0,104.0,93.0,72.0,59.0,51.0,37.0,14.0,15.0
20190324,0,Linfen,78.0,1.4380000000000002,1.05,64.0,34.0,35.0,128.0,62.0,97.0,104.0,71.0,51.0,34.0,26.0,27.0
20190324,0,Linyi,65.0,0.425,0.6,37.0,42.0,62.0,113.0,76.0,99.0,78.0,96.0,29.0,42.0,8.0,14.0
20190324,0,Lishui,29.0,0.467,0.467,28.0,19.0,26.0,84.0,51.0,75.0,28.0,34.0,20.0,22.0,6.0,6.0
20190324,0,Liupanshui,66.0,0.52,0.42,18.0,17.0,62.0,92.0,72.0,83.0,65.0,36.0,47.0,18.0,11.0,13.0
20190324,0,Liuzhou,28.0,0.6829999999999999,0.7170000000000001,16.0,15.0,37.0,51.0,44.0,47.0,23.0,22.0,19.0,17.0,17.0,16.0
20190324,0,Longnan,58.0,0.5,0.6,8.0,23.0,105.0,115.0,108.0,111.0,41.0,57.0,20.0,20.0,5.0,7.0
20190324,0,Longyan,18.0,0.7,0.725,14.0,19.0,32.0,40.0,31.0,31.0,10.0,12.0,12.0,8.0,5.0,6.0
20190324,0,Loudi,47.0,0.55,0.425,30.0,11.0,26.0,87.0,60.0,81.0,46.0,31.0,24.0,18.0,4.0,4.0
20190324,0,Lu'an,68.0,0.65,0.475,79.0,43.0,35.0,88.0,57.0,77.0,84.0,54.0,46.0,26.0,7.0,7.0
20190324,0,Luohe,114.0,0.65,0.525,58.0,33.0,41.0,103.0,60.0,96.0,164.0,119.0,85.0,52.0,11.0,13.0
20190324,0,Luoyang,76.0,0.314,0.5429999999999999,39.0,44.0,46.0,96.0,57.0,82.0,99.0,123.0,26.0,39.0,6.0,13.0
20190324,0,Luzhou,48.0,0.5,0.375,32.0,21.0,27.0,75.0,42.0,69.0,47.0,34.0,31.0,23.0,6.0,5.0
20190324,0,Lüliang,61.0,0.5329999999999999,0.5670000000000001,65.0,34.0,4.0,96.0,46.0,92.0,70.0,63.0,22.0,18.0,14.0,13.0
20190324,0,Ma'anshan,70.0,0.76,0.76,71.0,46.0,23.0,105.0,51.0,92.0,83.0,61.0,50.0,37.0,14.0,17.0
20190324,0,Maoming,12.0,0.633,0.5670000000000001,12.0,10.0,16.0,77.0,14.0,44.0,7.0,24.0,8.0,13.0,6.0,4.0
20190324,0,Meishan,53.0,0.575,0.5,41.0,25.0,24.0,79.0,53.0,62.0,54.0,42.0,29.0,21.0,6.0,8.0
20190324,0,Meizhou,13.0,0.733,0.767,25.0,17.0,15.0,42.0,23.0,35.0,4.0,9.0,2.0,3.0,5.0,5.0
20190324,0,Mianyang,41.0,0.4,0.375,20.0,30.0,58.0,98.0,68.0,83.0,40.0,54.0,20.0,25.0,3.0,6.0
20190324,0,Mudanjiang,58.0,0.65,0.46,25.0,22.0,59.0,95.0,69.0,90.0,55.0,49.0,40.0,32.0,3.0,5.0
20190324,0,Nanchang,54.0,0.456,0.344,57.0,24.0,33.0,103.0,61.0,87.0,56.0,35.0,22.0,16.0,6.0,5.0
20190324,0,Nanchong,40.0,0.467,0.383,24.0,20.0,31.0,86.0,45.0,72.0,36.0,34.0,28.0,19.0,3.0,3.0
20190324,0,Nanjing,69.0,0.667,0.7,77.0,43.0,34.0,117.0,68.0,97.0,85.0,56.0,42.0,27.0,13.0,13.0
20190324,0,Nanning,33.0,0.713,0.675,29.0,22.0,33.0,43.0,27.0,37.0,32.0,37.0,12.0,17.0,9.0,8.0
20190324,0,Nanping,24.0,0.6,0.675,8.0,8.0,51.0,70.0,47.0,59.0,9.0,10.0,4.0,5.0,3.0,4.0
20190324,0,Nantong,46.0,0.52,0.74,22.0,26.0,77.0,111.0,90.0,101.0,38.0,43.0,24.0,31.0,8.0,14.0
20190324,0,Nanyang,117.0,0.84,0.76,31.0,31.0,81.0,111.0,87.0,96.0,135.0,83.0,88.0,46.0,7.0,7.0
20190324,0,Neijiang,24.0,0.4,0.375,14.0,14.0,44.0,83.0,47.0,76.0,20.0,22.0,15.0,14.0,3.0,4.0
20190324,0,Ningbo,65.0,0.85,0.525,88.0,35.0,17.0,121.0,64.0,109.0,78.0,36.0,41.0,17.0,8.0,7.0
20190324,0,Ningde,38.0,0.425,0.375,16.0,18.0,79.0,98.0,75.0,80.0,36.0,37.0,19.0,24.0,7.0,6.0
20190324,0,Ordos,48.0,1.04,0.52,59.0,23.0,21.0,96.0,62.0,90.0,47.0,32.0,15.0,9.0,25.0,17.0
20190324,0,Panjin,38.0,0.5670000000000001,0.433,16.0,18.0,66.0,95.0,74.0,90.0,28.0,24.0,20.0,10.0,6.0,8.0
20190324,0,Panzhihua,54.0,0.6,0.82,28.0,34.0,79.0,118.0,93.0,107.0,55.0,57.0,35.0,32.0,9.0,20.0
20190324,0,Pingdingshan,90.0,0.75,0.85,42.0,37.0,62.0,107.0,78.0,99.0,128.0,109.0,49.0,43.0,14.0,18.0
20190324,0,Pingliang,67.0,0.9,0.5,61.0,33.0,49.0,110.0,88.0,101.0,82.0,66.0,38.0,17.0,14.0,13.0
20190324,0,Pingxiang,48.0,0.46,0.66,19.0,16.0,27.0,57.0,42.0,50.0,47.0,37.0,27.0,26.0,10.0,9.0
20190324,0,Pu'er,88.0,0.6,0.7,25.0,21.0,64.0,146.0,106.0,136.0,,73.0,65.0,53.0,5.0,6.0
20190324,0,Putian,46.0,0.32,0.36,14.0,15.0,94.0,102.0,90.0,90.0,11.0,24.0,7.0,11.0,4.0,3.0
20190324,0,Puyang,58.0,0.65,0.675,33.0,23.0,56.0,100.0,66.0,93.0,64.0,73.0,25.0,32.0,8.0,7.0
20190324,0,Qingdao,39.0,0.6,0.5670000000000001,42.0,31.0,39.0,90.0,53.0,84.0,38.0,51.0,16.0,19.0,6.0,7.0
20190324,0,Qingyang,56.0,0.333,0.3670000000000001,20.0,13.0,83.0,108.0,93.0,104.0,60.0,58.0,25.0,20.0,10.0,10.0
20190324,0,Qingyuan,14.0,0.6,0.6,23.0,14.0,26.0,39.0,27.0,35.0,9.0,14.0,4.0,7.0,5.0,5.0
20190324,0,Qinhuangdao,56.0,1.38,0.48,59.0,21.0,29.0,94.0,58.0,88.0,60.0,32.0,37.0,15.0,39.0,11.0
20190324,0,Qinzhou,29.0,0.733,0.833,14.0,15.0,43.0,49.0,46.0,47.0,28.0,47.0,17.0,26.0,10.0,12.0
20190324,0,Qiqihar,61.0,0.84,0.72,17.0,16.0,43.0,97.0,54.0,86.0,70.0,68.0,32.0,46.0,19.0,15.0
20190324,0,Qitaihe,44.0,0.5329999999999999,0.5670000000000001,8.0,17.0,90.0,97.0,86.0,91.0,26.0,35.0,21.0,22.0,4.0,7.0
20190324,0,Quanzhou,41.0,0.3,0.333,13.0,20.0,92.0,93.0,80.0,80.0,13.0,27.0,6.0,13.0,6.0,8.0
20190324,0,Qujing,64.0,1.3,1.0,25.0,23.0,33.0,62.0,43.0,46.0,60.0,65.0,45.0,34.0,15.0,18.0
20190324,0,Quzhou,42.0,0.5,0.433,53.0,25.0,27.0,89.0,55.0,78.0,41.0,41.0,24.0,24.0,6.0,5.0
20190324,0,Rizhao,53.0,0.2,0.3,33.0,25.0,58.0,95.0,74.0,86.0,53.0,61.0,17.0,24.0,5.0,8.0
20190324,0,Sanmenxia,89.0,0.575,0.55,30.0,43.0,58.0,113.0,78.0,101.0,126.0,87.0,27.0,32.0,14.0,11.0
20190324,0,Sanming,21.0,0.475,0.575,10.0,10.0,37.0,54.0,40.0,51.0,7.0,7.0,5.0,4.0,4.0,4.0
20190324,0,Sanya,29.0,0.5,0.45,6.0,7.0,45.0,53.0,47.0,50.0,28.0,25.0,14.0,12.0,2.0,2.0
20190324,0,Shanghai,88.0,0.74,0.67,35.0,36.0,90.0,122.0,91.0,102.0,67.0,41.0,65.0,27.0,6.0,8.0
20190324,0,Shangluo,47.0,0.45,0.5,24.0,27.0,75.0,109.0,76.0,98.0,46.0,57.0,27.0,22.0,13.0,9.0
20190324,0,Shangqiu,202.0,1.171,0.843,68.0,38.0,11.0,110.0,34.0,59.0,185.0,143.0,151.0,116.0,9.0,10.0
20190324,0,Shangrao,51.0,0.45,0.475,19.0,17.0,56.0,91.0,58.0,75.0,50.0,46.0,25.0,29.0,17.0,7.0
20190324,0,Shantou,40.0,0.517,0.517,16.0,16.0,69.0,90.0,79.0,86.0,26.0,22.0,8.0,6.0,6.0,6.0
20190324,0,Shanwei,18.0,0.75,0.65,10.0,12.0,28.0,71.0,35.0,60.0,,18.0,5.0,11.0,6.0,6.0
20190324,0,Shaoguan,17.0,0.82,0.82,13.0,16.0,45.0,47.0,33.0,33.0,10.0,12.0,8.0,6.0,5.0,6.0
20190324,0,Shaoxing,85.0,0.589,0.6709999999999999,42.0,30.0,56.0,116.0,74.0,103.0,117.0,59.0,35.0,33.0,7.0,8.0
20190324,0,Shaoyang,39.0,0.72,0.64,19.0,11.0,43.0,88.0,62.0,79.0,32.0,24.0,27.0,17.0,11.0,9.0
20190324,0,Shenyang,46.0,0.718,0.4270000000000001,27.0,21.0,48.0,87.0,49.0,81.0,45.0,29.0,24.0,14.0,18.0,11.0
20190324,0,Shenzhen,25.0,0.758,0.723,21.0,21.0,27.0,64.0,26.0,56.0,24.0,28.0,13.0,17.0,3.0,3.0
20190324,0,Shijiazhuang,71.0,0.475,0.375,47.0,20.0,36.0,92.0,68.0,88.0,89.0,67.0,29.0,22.0,20.0,8.0
